save_as,product,brand,current_image_on_old_site,new_page
assets/products/vset.jpg,Telos VSet,Telos,https://btsi.com.ph/wp-content/uploads/2018/03/telos-VX-VSet6.jpg,/products/vset/
assets/products/vx-prime-broadcast-voip.jpg,Telos VX Prime Broadcast VoIP,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/telos-VX-prime-voip-system.jpg,/products/vx-prime-broadcast-voip/
assets/products/x2.jpg,Telos Z/IPStream X/2,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/ZIPStream-X2.jpg,/products/x2/
assets/products/xda-10kw-am-transmitter.jpg,Continental Lensa X.DA 10KW AM Transmitter,Continental Lensa,https://btsi.com.ph/wp-content/uploads/2018/08/continental-lensa-AM-10KW.jpg,/products/xda-10kw-am-transmitter/
assets/products/xda-15kw-am-transmitter.jpg,Continental Lensa X.DA 15KW AM Transmitter,Continental Lensa,https://btsi.com.ph/wp-content/uploads/2018/08/continental-lensa-AM-15KW.jpg,/products/xda-15kw-am-transmitter/
assets/products/xda-20kw-am-transmitter.jpg,Continental Lensa X.DA 20KW AM Transmitter,Continental Lensa,https://btsi.com.ph/wp-content/uploads/2018/08/continental-lensa-AM-20KW.jpg,/products/xda-20kw-am-transmitter/
assets/products/xda-25kw-am-transmitter.jpg,Continental Lensa X.DA 25KW AM Transmitter,Continental Lensa,https://btsi.com.ph/wp-content/uploads/2018/08/continental-lensa-AM-25KW.jpg,/products/xda-25kw-am-transmitter/
assets/products/xda-30kw-am-transmitter.jpg,Continental Lensa X.DA 30KW AM Transmitter,Continental Lensa,https://btsi.com.ph/wp-content/uploads/2018/08/continental-lensa-AM-30KW.jpg,/products/xda-30kw-am-transmitter/
assets/products/xda-3kw-am-transmitter.jpg,Continental Lensa X.DA 3KW AM Transmitter,Continental Lensa,https://btsi.com.ph/wp-content/uploads/2018/08/continental-lensa-AM-3KW.jpg,/products/xda-3kw-am-transmitter/
assets/products/xda-50kw-am-transmitter.jpg,Continental Lensa X.DA 50KW AM Transmitter,Continental Lensa,https://btsi.com.ph/wp-content/uploads/2018/08/continental-lensa-AM-50KW.jpg,/products/xda-50kw-am-transmitter/
assets/products/xda-5kw-am-digital-transmitter.jpg,Continental Lensa X.DA 5KW AM Transmitter,Continental Lensa,https://btsi.com.ph/wp-content/uploads/2018/08/continental-lensa-AM-5KW.jpg,/products/xda-5kw-am-digital-transmitter/
assets/products/xnodes.jpg,Telos Alliance xNodes,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/axia-xNode-Analog.jpg,/products/xnodes/
assets/products/xselector.jpg,Axia xSelector,Axia,https://btsi.com.ph/wp-content/uploads/2018/08/axia-xSelector.jpg,/products/xselector/
assets/products/xstream.jpg,Telos Zephyr Xstream ISDN Codec,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/telos-Zephyr-XStream.jpg,/products/xstream/
assets/products/xswitch.jpg,Telos Alliance xSwitch,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/axia-xSwitch.jpg,/products/xswitch/
assets/products/zip-one.jpg,Telos Z/IP ONE IP Broadcast Codec,Telos,https://btsi.com.ph/wp-content/uploads/2018/08/telos-ZIP-ONE-front.jpg,/products/zip-one/
